year,cites_per_year,author
2003,187,SAEZ Emmanuel
2004,259,SAEZ Emmanuel
2005,389,SAEZ Emmanuel
2006,482,SAEZ Emmanuel
2007,657,SAEZ Emmanuel
2008,902,SAEZ Emmanuel
2009,1005,SAEZ Emmanuel
2010,1119,SAEZ Emmanuel
2011,1640,SAEZ Emmanuel
2012,2233,SAEZ Emmanuel
2013,2513,SAEZ Emmanuel
2014,3582,SAEZ Emmanuel
2015,3987,SAEZ Emmanuel
2016,4453,SAEZ Emmanuel
2017,4769,SAEZ Emmanuel
2018,5382,SAEZ Emmanuel
2019,5678,SAEZ Emmanuel
2020,6415,SAEZ Emmanuel
2021,6452,SAEZ Emmanuel
2022,6661,SAEZ Emmanuel
2023,3631,SAEZ Emmanuel
1987,15,NUNEZ Rafael
1988,17,NUNEZ Rafael
1989,17,NUNEZ Rafael
1990,16,NUNEZ Rafael
1991,15,NUNEZ Rafael
1992,23,NUNEZ Rafael
1993,16,NUNEZ Rafael
1994,17,NUNEZ Rafael
1995,31,NUNEZ Rafael
1996,38,NUNEZ Rafael
1997,31,NUNEZ Rafael
1998,65,NUNEZ Rafael
1999,44,NUNEZ Rafael
2000,77,NUNEZ Rafael
2001,82,NUNEZ Rafael
2002,97,NUNEZ Rafael
2003,126,NUNEZ Rafael
2004,140,NUNEZ Rafael
2005,162,NUNEZ Rafael
2006,181,NUNEZ Rafael
2007,178,NUNEZ Rafael
2008,209,NUNEZ Rafael
2009,205,NUNEZ Rafael
2010,238,NUNEZ Rafael
2011,221,NUNEZ Rafael
2012,250,NUNEZ Rafael
2013,278,NUNEZ Rafael
2014,251,NUNEZ Rafael
2015,333,NUNEZ Rafael
2016,298,NUNEZ Rafael
2017,322,NUNEZ Rafael
2018,326,NUNEZ Rafael
2019,317,NUNEZ Rafael
2020,258,NUNEZ Rafael
2021,280,NUNEZ Rafael
2022,250,NUNEZ Rafael
2023,144,NUNEZ Rafael
2009,14,STACHEWICZ Urszula
2010,28,STACHEWICZ Urszula
2011,38,STACHEWICZ Urszula
2012,57,STACHEWICZ Urszula
2013,51,STACHEWICZ Urszula
2014,69,STACHEWICZ Urszula
2015,98,STACHEWICZ Urszula
2016,87,STACHEWICZ Urszula
2017,114,STACHEWICZ Urszula
2018,105,STACHEWICZ Urszula
2019,178,STACHEWICZ Urszula
2020,314,STACHEWICZ Urszula
2021,553,STACHEWICZ Urszula
2022,724,STACHEWICZ Urszula
2023,484,STACHEWICZ Urszula
2008,59,FALISZEWSKI Piotr
2009,86,FALISZEWSKI Piotr
2010,165,FALISZEWSKI Piotr
2011,202,FALISZEWSKI Piotr
2012,331,FALISZEWSKI Piotr
2013,225,FALISZEWSKI Piotr
2014,276,FALISZEWSKI Piotr
2015,383,FALISZEWSKI Piotr
2016,549,FALISZEWSKI Piotr
2017,525,FALISZEWSKI Piotr
2018,440,FALISZEWSKI Piotr
2019,530,FALISZEWSKI Piotr
2020,557,FALISZEWSKI Piotr
2021,611,FALISZEWSKI Piotr
2022,644,FALISZEWSKI Piotr
2023,379,FALISZEWSKI Piotr
2010,21,HACHEM Elie
2011,43,HACHEM Elie
2012,49,HACHEM Elie
2013,54,HACHEM Elie
2014,100,HACHEM Elie
2015,84,HACHEM Elie
2016,164,HACHEM Elie
2017,210,HACHEM Elie
2018,121,HACHEM Elie
2019,135,HACHEM Elie
2020,198,HACHEM Elie
2021,214,HACHEM Elie
2022,354,HACHEM Elie
2023,285,HACHEM Elie
2012,23,Leghtas Zaki
2013,74,Leghtas Zaki
2014,182,Leghtas Zaki
2015,291,Leghtas Zaki
2016,455,Leghtas Zaki
2017,574,Leghtas Zaki
2018,504,Leghtas Zaki
2019,672,Leghtas Zaki
2020,739,Leghtas Zaki
2021,776,Leghtas Zaki
2022,934,Leghtas Zaki
2023,653,Leghtas Zaki
2003,41,Muniesa Fabian
2004,49,Muniesa Fabian
2005,74,Muniesa Fabian
2006,81,Muniesa Fabian
2007,189,Muniesa Fabian
2008,256,Muniesa Fabian
2009,304,Muniesa Fabian
2010,432,Muniesa Fabian
2011,444,Muniesa Fabian
2012,483,Muniesa Fabian
2013,656,Muniesa Fabian
2014,773,Muniesa Fabian
2015,827,Muniesa Fabian
2016,896,Muniesa Fabian
2017,979,Muniesa Fabian
2018,1074,Muniesa Fabian
2019,1007,Muniesa Fabian
2020,1039,Muniesa Fabian
2021,924,Muniesa Fabian
2022,962,Muniesa Fabian
2023,546,Muniesa Fabian
1992,51,ROUCHON Pierre
1993,64,ROUCHON Pierre
1994,67,ROUCHON Pierre
1995,178,ROUCHON Pierre
1996,128,ROUCHON Pierre
1997,227,ROUCHON Pierre
1998,267,ROUCHON Pierre
1999,327,ROUCHON Pierre
2000,370,ROUCHON Pierre
2001,329,ROUCHON Pierre
2002,332,ROUCHON Pierre
2003,354,ROUCHON Pierre
2004,422,ROUCHON Pierre
2005,509,ROUCHON Pierre
2006,532,ROUCHON Pierre
2007,496,ROUCHON Pierre
2008,652,ROUCHON Pierre
2009,769,ROUCHON Pierre
2010,751,ROUCHON Pierre
2011,741,ROUCHON Pierre
2012,816,ROUCHON Pierre
2013,902,ROUCHON Pierre
2014,816,ROUCHON Pierre
2015,790,ROUCHON Pierre
2016,859,ROUCHON Pierre
2017,743,ROUCHON Pierre
2018,796,ROUCHON Pierre
2019,793,ROUCHON Pierre
2020,784,ROUCHON Pierre
2021,702,ROUCHON Pierre
2022,855,ROUCHON Pierre
2023,444,ROUCHON Pierre
2013,4,TILLOY Antoine
2014,11,TILLOY Antoine
2015,20,TILLOY Antoine
2016,27,TILLOY Antoine
2017,44,TILLOY Antoine
2018,61,TILLOY Antoine
2019,78,TILLOY Antoine
2020,74,TILLOY Antoine
2021,151,TILLOY Antoine
2022,146,TILLOY Antoine
2023,108,TILLOY Antoine
2004,77,Vert Jean-Philippe
2005,186,Vert Jean-Philippe
2006,274,Vert Jean-Philippe
2007,393,Vert Jean-Philippe
2008,469,Vert Jean-Philippe
2009,571,Vert Jean-Philippe
2010,615,Vert Jean-Philippe
2011,678,Vert Jean-Philippe
2012,844,Vert Jean-Philippe
2013,1017,Vert Jean-Philippe
2014,1182,Vert Jean-Philippe
2015,1405,Vert Jean-Philippe
2016,1429,Vert Jean-Philippe
2017,1524,Vert Jean-Philippe
2018,1703,Vert Jean-Philippe
2019,1915,Vert Jean-Philippe
2020,2042,Vert Jean-Philippe
2021,2312,Vert Jean-Philippe
2022,2296,Vert Jean-Philippe
2023,1343,Vert Jean-Philippe
2012,11,MAGRACH Ainhoa
2013,13,MAGRACH Ainhoa
2014,35,MAGRACH Ainhoa
2015,96,MAGRACH Ainhoa
2016,169,MAGRACH Ainhoa
2017,250,MAGRACH Ainhoa
2018,422,MAGRACH Ainhoa
2019,509,MAGRACH Ainhoa
2020,703,MAGRACH Ainhoa
2021,795,MAGRACH Ainhoa
2022,848,MAGRACH Ainhoa
2023,521,MAGRACH Ainhoa
2007,16,MONTOYA Daniel
2008,24,MONTOYA Daniel
2009,49,MONTOYA Daniel
2010,62,MONTOYA Daniel
2011,88,MONTOYA Daniel
2012,101,MONTOYA Daniel
2013,101,MONTOYA Daniel
2014,82,MONTOYA Daniel
2015,106,MONTOYA Daniel
2016,121,MONTOYA Daniel
2017,177,MONTOYA Daniel
2018,240,MONTOYA Daniel
2019,296,MONTOYA Daniel
2020,316,MONTOYA Daniel
2021,425,MONTOYA Daniel
2022,394,MONTOYA Daniel
2023,239,MONTOYA Daniel
2013,10,Ibañez Azpiroz Julen
2014,23,Ibañez Azpiroz Julen
2015,21,Ibañez Azpiroz Julen
2016,29,Ibañez Azpiroz Julen
2017,35,Ibañez Azpiroz Julen
2018,46,Ibañez Azpiroz Julen
2019,54,Ibañez Azpiroz Julen
2020,134,Ibañez Azpiroz Julen
2021,255,Ibañez Azpiroz Julen
2022,379,Ibañez Azpiroz Julen
2023,318,Ibañez Azpiroz Julen
2003,177,CARDOSO Vitor
2004,252,CARDOSO Vitor
2005,293,CARDOSO Vitor
2006,332,CARDOSO Vitor
2007,315,CARDOSO Vitor
2008,447,CARDOSO Vitor
2009,558,CARDOSO Vitor
2010,646,CARDOSO Vitor
2011,698,CARDOSO Vitor
2012,689,CARDOSO Vitor
2013,981,CARDOSO Vitor
2014,954,CARDOSO Vitor
2015,1174,CARDOSO Vitor
2016,1431,CARDOSO Vitor
2017,1533,CARDOSO Vitor
2018,1877,CARDOSO Vitor
2019,2879,CARDOSO Vitor
2020,3340,CARDOSO Vitor
2021,3571,CARDOSO Vitor
2022,4487,CARDOSO Vitor
2023,3284,CARDOSO Vitor
2005,18,GRAM-HANSSEN Kirsten
2006,27,GRAM-HANSSEN Kirsten
2007,45,GRAM-HANSSEN Kirsten
2008,67,GRAM-HANSSEN Kirsten
2009,97,GRAM-HANSSEN Kirsten
2010,134,GRAM-HANSSEN Kirsten
2011,177,GRAM-HANSSEN Kirsten
2012,217,GRAM-HANSSEN Kirsten
2013,326,GRAM-HANSSEN Kirsten
2014,351,GRAM-HANSSEN Kirsten
2015,358,GRAM-HANSSEN Kirsten
2016,453,GRAM-HANSSEN Kirsten
2017,409,GRAM-HANSSEN Kirsten
2018,513,GRAM-HANSSEN Kirsten
2019,543,GRAM-HANSSEN Kirsten
2020,591,GRAM-HANSSEN Kirsten
2021,550,GRAM-HANSSEN Kirsten
2022,691,GRAM-HANSSEN Kirsten
2023,308,GRAM-HANSSEN Kirsten
2003,489,Blåbjerg Frede
2004,777,Blåbjerg Frede
2005,1192,Blåbjerg Frede
2006,1437,Blåbjerg Frede
2007,1868,Blåbjerg Frede
2008,2752,Blåbjerg Frede
2009,3336,Blåbjerg Frede
2010,3792,Blåbjerg Frede
2011,4492,Blåbjerg Frede
2012,5638,Blåbjerg Frede
2013,6449,Blåbjerg Frede
2014,8290,Blåbjerg Frede
2015,9804,Blåbjerg Frede
2016,11649,Blåbjerg Frede
2017,13045,Blåbjerg Frede
2018,15133,Blåbjerg Frede
2019,16698,Blåbjerg Frede
2020,19094,Blåbjerg Frede
2021,20501,Blåbjerg Frede
2022,21334,Blåbjerg Frede
2023,11005,Blåbjerg Frede
2013,53,ALBERTSEN Mads
2014,147,ALBERTSEN Mads
2015,233,ALBERTSEN Mads
2016,589,ALBERTSEN Mads
2017,927,ALBERTSEN Mads
2018,1219,ALBERTSEN Mads
2019,1487,ALBERTSEN Mads
2020,1923,ALBERTSEN Mads
2021,2304,ALBERTSEN Mads
2022,2504,ALBERTSEN Mads
2023,1531,ALBERTSEN Mads
2010,34,SMEDSKJAER Morten
2011,83,SMEDSKJAER Morten
2012,99,SMEDSKJAER Morten
2013,177,SMEDSKJAER Morten
2014,238,SMEDSKJAER Morten
2015,256,SMEDSKJAER Morten
2016,392,SMEDSKJAER Morten
2017,462,SMEDSKJAER Morten
2018,548,SMEDSKJAER Morten
2019,719,SMEDSKJAER Morten
2020,808,SMEDSKJAER Morten
2021,976,SMEDSKJAER Morten
2022,1268,SMEDSKJAER Morten
2023,755,SMEDSKJAER Morten
2007,67,Popovski Petar
2008,224,Popovski Petar
2009,330,Popovski Petar
2010,467,Popovski Petar
2011,632,Popovski Petar
2012,619,Popovski Petar
2013,807,Popovski Petar
2014,920,Popovski Petar
2015,1218,Popovski Petar
2016,1643,Popovski Petar
2017,2152,Popovski Petar
2018,2330,Popovski Petar
2019,2588,Popovski Petar
2020,2764,Popovski Petar
2021,3035,Popovski Petar
2022,3583,Popovski Petar
2023,2172,Popovski Petar
2008,101,SUN zhipei
2009,213,SUN zhipei
2010,373,SUN zhipei
2011,710,SUN zhipei
2012,1202,SUN zhipei
2013,1460,SUN zhipei
2014,2120,SUN zhipei
2015,2479,SUN zhipei
2016,2791,SUN zhipei
2017,3077,SUN zhipei
2018,3632,SUN zhipei
2019,3619,SUN zhipei
2020,3502,SUN zhipei
2021,3451,SUN zhipei
2022,3611,SUN zhipei
2023,2252,SUN zhipei
2007,9,DESKA Jan
2008,24,DESKA Jan
2009,25,DESKA Jan
2010,35,DESKA Jan
2011,49,DESKA Jan
2012,36,DESKA Jan
2013,76,DESKA Jan
2014,71,DESKA Jan
2015,98,DESKA Jan
2016,111,DESKA Jan
2017,69,DESKA Jan
2018,131,DESKA Jan
2019,82,DESKA Jan
2020,73,DESKA Jan
2021,172,DESKA Jan
2022,158,DESKA Jan
2023,112,DESKA Jan
2008,6,Chalermsook Parinya
2009,10,Chalermsook Parinya
2010,10,Chalermsook Parinya
2011,16,Chalermsook Parinya
2012,31,Chalermsook Parinya
2013,28,Chalermsook Parinya
2014,56,Chalermsook Parinya
2015,55,Chalermsook Parinya
2016,51,Chalermsook Parinya
2017,57,Chalermsook Parinya
2018,83,Chalermsook Parinya
2019,103,Chalermsook Parinya
2020,102,Chalermsook Parinya
2021,104,Chalermsook Parinya
2022,119,Chalermsook Parinya
2023,74,Chalermsook Parinya
2008,101,SUN zhipei
2009,213,SUN zhipei
2010,373,SUN zhipei
2011,710,SUN zhipei
2012,1202,SUN zhipei
2013,1460,SUN zhipei
2014,2120,SUN zhipei
2015,2479,SUN zhipei
2016,2791,SUN zhipei
2017,3077,SUN zhipei
2018,3632,SUN zhipei
2019,3619,SUN zhipei
2020,3502,SUN zhipei
2021,3451,SUN zhipei
2022,3611,SUN zhipei
2023,2252,SUN zhipei
2004,36,MÖTTÖNEN Mikko
2005,66,MÖTTÖNEN Mikko
2006,61,MÖTTÖNEN Mikko
2007,75,MÖTTÖNEN Mikko
2008,177,MÖTTÖNEN Mikko
2009,181,MÖTTÖNEN Mikko
2010,278,MÖTTÖNEN Mikko
2011,367,MÖTTÖNEN Mikko
2012,420,MÖTTÖNEN Mikko
2013,431,MÖTTÖNEN Mikko
2014,539,MÖTTÖNEN Mikko
2015,563,MÖTTÖNEN Mikko
2016,591,MÖTTÖNEN Mikko
2017,629,MÖTTÖNEN Mikko
2018,601,MÖTTÖNEN Mikko
2019,627,MÖTTÖNEN Mikko
2020,627,MÖTTÖNEN Mikko
2021,751,MÖTTÖNEN Mikko
2022,756,MÖTTÖNEN Mikko
2023,522,MÖTTÖNEN Mikko
1991,124,ILMONIEMI Risto
1992,101,ILMONIEMI Risto
1993,147,ILMONIEMI Risto
1994,138,ILMONIEMI Risto
1995,200,ILMONIEMI Risto
1996,246,ILMONIEMI Risto
1997,281,ILMONIEMI Risto
1998,394,ILMONIEMI Risto
1999,566,ILMONIEMI Risto
2000,696,ILMONIEMI Risto
2001,832,ILMONIEMI Risto
2002,856,ILMONIEMI Risto
2003,1120,ILMONIEMI Risto
2004,1037,ILMONIEMI Risto
2005,1258,ILMONIEMI Risto
2006,1196,ILMONIEMI Risto
2007,1440,ILMONIEMI Risto
2008,1315,ILMONIEMI Risto
2009,1354,ILMONIEMI Risto
2010,1669,ILMONIEMI Risto
2011,1734,ILMONIEMI Risto
2012,2050,ILMONIEMI Risto
2013,2189,ILMONIEMI Risto
2014,2137,ILMONIEMI Risto
2015,1989,ILMONIEMI Risto
2016,2050,ILMONIEMI Risto
2017,2015,ILMONIEMI Risto
2018,2183,ILMONIEMI Risto
2019,2384,ILMONIEMI Risto
2020,2309,ILMONIEMI Risto
2021,2507,ILMONIEMI Risto
2022,2848,ILMONIEMI Risto
2023,1682,ILMONIEMI Risto
2007,48,RAS Robin
2008,72,RAS Robin
2009,99,RAS Robin
2010,135,RAS Robin
2011,250,RAS Robin
2012,353,RAS Robin
2013,544,RAS Robin
2014,742,RAS Robin
2015,715,RAS Robin
2016,872,RAS Robin
2017,1054,RAS Robin
2018,1255,RAS Robin
2019,1285,RAS Robin
2020,1491,RAS Robin
2021,1786,RAS Robin
2022,2013,RAS Robin
2023,1315,RAS Robin
2000,30,Van Dijken Sebastiaan
2001,42,Van Dijken Sebastiaan
2002,63,Van Dijken Sebastiaan
2003,100,Van Dijken Sebastiaan
2004,139,Van Dijken Sebastiaan
2005,158,Van Dijken Sebastiaan
2006,208,Van Dijken Sebastiaan
2007,187,Van Dijken Sebastiaan
2008,189,Van Dijken Sebastiaan
2009,155,Van Dijken Sebastiaan
2010,135,Van Dijken Sebastiaan
2011,125,Van Dijken Sebastiaan
2012,133,Van Dijken Sebastiaan
2013,218,Van Dijken Sebastiaan
2014,226,Van Dijken Sebastiaan
2015,297,Van Dijken Sebastiaan
2016,381,Van Dijken Sebastiaan
2017,463,Van Dijken Sebastiaan
2018,522,Van Dijken Sebastiaan
2019,653,Van Dijken Sebastiaan
2020,648,Van Dijken Sebastiaan
2021,835,Van Dijken Sebastiaan
2022,1027,Van Dijken Sebastiaan
2023,732,Van Dijken Sebastiaan
2003,40,LILJEROTH Peter
2004,70,LILJEROTH Peter
2005,82,LILJEROTH Peter
2006,127,LILJEROTH Peter
2007,184,LILJEROTH Peter
2008,244,LILJEROTH Peter
2009,264,LILJEROTH Peter
2010,436,LILJEROTH Peter
2011,516,LILJEROTH Peter
2012,539,LILJEROTH Peter
2013,592,LILJEROTH Peter
2014,723,LILJEROTH Peter
2015,789,LILJEROTH Peter
2016,758,LILJEROTH Peter
2017,775,LILJEROTH Peter
2018,829,LILJEROTH Peter
2019,858,LILJEROTH Peter
2020,840,LILJEROTH Peter
2021,1066,LILJEROTH Peter
2022,1131,LILJEROTH Peter
2023,722,LILJEROTH Peter
2007,24,KUZYK Anton
2008,39,KUZYK Anton
2009,64,KUZYK Anton
2010,63,KUZYK Anton
2011,110,KUZYK Anton
2012,205,KUZYK Anton
2013,320,KUZYK Anton
2014,393,KUZYK Anton
2015,450,KUZYK Anton
2016,489,KUZYK Anton
2017,614,KUZYK Anton
2018,736,KUZYK Anton
2019,649,KUZYK Anton
2020,685,KUZYK Anton
2021,735,KUZYK Anton
2022,736,KUZYK Anton
2023,414,KUZYK Anton
2000,30,van Dijken Sebastiaan
2001,42,van Dijken Sebastiaan
2002,63,van Dijken Sebastiaan
2003,100,van Dijken Sebastiaan
2004,139,van Dijken Sebastiaan
2005,158,van Dijken Sebastiaan
2006,208,van Dijken Sebastiaan
2007,187,van Dijken Sebastiaan
2008,189,van Dijken Sebastiaan
2009,155,van Dijken Sebastiaan
2010,135,van Dijken Sebastiaan
2011,125,van Dijken Sebastiaan
2012,133,van Dijken Sebastiaan
2013,218,van Dijken Sebastiaan
2014,226,van Dijken Sebastiaan
2015,297,van Dijken Sebastiaan
2016,381,van Dijken Sebastiaan
2017,463,van Dijken Sebastiaan
2018,522,van Dijken Sebastiaan
2019,653,van Dijken Sebastiaan
2020,648,van Dijken Sebastiaan
2021,835,van Dijken Sebastiaan
2022,1027,van Dijken Sebastiaan
2023,732,van Dijken Sebastiaan
1984,48,Hakonen Pertti
1985,48,Hakonen Pertti
1986,34,Hakonen Pertti
1987,64,Hakonen Pertti
1988,3,Hakonen Pertti
1989,54,Hakonen Pertti
1990,62,Hakonen Pertti
1991,46,Hakonen Pertti
1992,86,Hakonen Pertti
1993,69,Hakonen Pertti
1994,61,Hakonen Pertti
1995,106,Hakonen Pertti
1996,81,Hakonen Pertti
1997,80,Hakonen Pertti
1998,59,Hakonen Pertti
1999,45,Hakonen Pertti
2000,101,Hakonen Pertti
2001,125,Hakonen Pertti
2002,100,Hakonen Pertti
2003,108,Hakonen Pertti
2004,154,Hakonen Pertti
2005,195,Hakonen Pertti
2006,180,Hakonen Pertti
2007,152,Hakonen Pertti
2008,189,Hakonen Pertti
2009,268,Hakonen Pertti
2010,247,Hakonen Pertti
2011,229,Hakonen Pertti
2012,274,Hakonen Pertti
2013,395,Hakonen Pertti
2014,435,Hakonen Pertti
2015,600,Hakonen Pertti
2016,874,Hakonen Pertti
2017,898,Hakonen Pertti
2018,953,Hakonen Pertti
2019,831,Hakonen Pertti
2020,771,Hakonen Pertti
2021,798,Hakonen Pertti
2022,767,Hakonen Pertti
2023,483,Hakonen Pertti
2007,177,SILLANPÄÄ Mika
2008,200,SILLANPÄÄ Mika
2009,294,SILLANPÄÄ Mika
2010,580,SILLANPÄÄ Mika
2011,934,SILLANPÄÄ Mika
2012,1258,SILLANPÄÄ Mika
2013,1569,SILLANPÄÄ Mika
2014,2035,SILLANPÄÄ Mika
2015,2737,SILLANPÄÄ Mika
2016,3601,SILLANPÄÄ Mika
2017,4191,SILLANPÄÄ Mika
2018,5104,SILLANPÄÄ Mika
2019,6365,SILLANPÄÄ Mika
2020,7984,SILLANPÄÄ Mika
2021,10664,SILLANPÄÄ Mika
2022,12392,SILLANPÄÄ Mika
2023,8004,SILLANPÄÄ Mika
1997,41,TÖRMÄ Päivi
1998,40,TÖRMÄ Päivi
1999,59,TÖRMÄ Päivi
2000,54,TÖRMÄ Päivi
2001,47,TÖRMÄ Päivi
2002,62,TÖRMÄ Päivi
2003,78,TÖRMÄ Päivi
2004,90,TÖRMÄ Päivi
2005,139,TÖRMÄ Päivi
2006,154,TÖRMÄ Päivi
2007,202,TÖRMÄ Päivi
2008,238,TÖRMÄ Päivi
2009,279,TÖRMÄ Päivi
2010,299,TÖRMÄ Päivi
2011,361,TÖRMÄ Päivi
2012,307,TÖRMÄ Päivi
2013,264,TÖRMÄ Päivi
2014,337,TÖRMÄ Päivi
2015,385,TÖRMÄ Päivi
2016,515,TÖRMÄ Päivi
2017,572,TÖRMÄ Päivi
2018,947,TÖRMÄ Päivi
2019,1034,TÖRMÄ Päivi
2020,1057,TÖRMÄ Päivi
2021,1196,TÖRMÄ Päivi
2022,1294,TÖRMÄ Päivi
2023,852,TÖRMÄ Päivi
2009,17,Vapaavuori Jaana
2010,26,Vapaavuori Jaana
2011,68,Vapaavuori Jaana
2012,69,Vapaavuori Jaana
2013,80,Vapaavuori Jaana
2014,137,Vapaavuori Jaana
2015,153,Vapaavuori Jaana
2016,172,Vapaavuori Jaana
2017,191,Vapaavuori Jaana
2018,221,Vapaavuori Jaana
2019,193,Vapaavuori Jaana
2020,175,Vapaavuori Jaana
2021,218,Vapaavuori Jaana
2022,230,Vapaavuori Jaana
2023,169,Vapaavuori Jaana
2014,20,SAND Andrea
2015,47,SAND Andrea
2016,48,SAND Andrea
2017,99,SAND Andrea
2018,229,SAND Andrea
2019,309,SAND Andrea
2020,437,SAND Andrea
2021,492,SAND Andrea
2022,396,SAND Andrea
2023,269,SAND Andrea
2000,30,VAN DIJKEN Sebastiaan
2001,42,VAN DIJKEN Sebastiaan
2002,63,VAN DIJKEN Sebastiaan
2003,100,VAN DIJKEN Sebastiaan
2004,139,VAN DIJKEN Sebastiaan
2005,158,VAN DIJKEN Sebastiaan
2006,208,VAN DIJKEN Sebastiaan
2007,187,VAN DIJKEN Sebastiaan
2008,189,VAN DIJKEN Sebastiaan
2009,155,VAN DIJKEN Sebastiaan
2010,135,VAN DIJKEN Sebastiaan
2011,125,VAN DIJKEN Sebastiaan
2012,133,VAN DIJKEN Sebastiaan
2013,218,VAN DIJKEN Sebastiaan
2014,226,VAN DIJKEN Sebastiaan
2015,297,VAN DIJKEN Sebastiaan
2016,381,VAN DIJKEN Sebastiaan
2017,463,VAN DIJKEN Sebastiaan
2018,522,VAN DIJKEN Sebastiaan
2019,653,VAN DIJKEN Sebastiaan
2020,648,VAN DIJKEN Sebastiaan
2021,835,VAN DIJKEN Sebastiaan
2022,1027,VAN DIJKEN Sebastiaan
2023,732,VAN DIJKEN Sebastiaan
2007,25,KOSTIAINEN Mauri
2008,38,KOSTIAINEN Mauri
2009,55,KOSTIAINEN Mauri
2010,77,KOSTIAINEN Mauri
2011,116,KOSTIAINEN Mauri
2012,100,KOSTIAINEN Mauri
2013,105,KOSTIAINEN Mauri
2014,161,KOSTIAINEN Mauri
2015,216,KOSTIAINEN Mauri
2016,401,KOSTIAINEN Mauri
2017,452,KOSTIAINEN Mauri
2018,798,KOSTIAINEN Mauri
2019,847,KOSTIAINEN Mauri
2020,1184,KOSTIAINEN Mauri
2021,1484,KOSTIAINEN Mauri
2022,1353,KOSTIAINEN Mauri
2023,956,KOSTIAINEN Mauri
1993,19,ASTALA Kari
1994,41,ASTALA Kari
1995,33,ASTALA Kari
1996,22,ASTALA Kari
1997,20,ASTALA Kari
1998,43,ASTALA Kari
1999,28,ASTALA Kari
2000,33,ASTALA Kari
2001,51,ASTALA Kari
2002,46,ASTALA Kari
2003,72,ASTALA Kari
2004,37,ASTALA Kari
2005,136,ASTALA Kari
2006,98,ASTALA Kari
2007,144,ASTALA Kari
2008,153,ASTALA Kari
2009,167,ASTALA Kari
2010,228,ASTALA Kari
2011,217,ASTALA Kari
2012,266,ASTALA Kari
2013,272,ASTALA Kari
2014,296,ASTALA Kari
2015,232,ASTALA Kari
2016,217,ASTALA Kari
2017,215,ASTALA Kari
2018,224,ASTALA Kari
2019,244,ASTALA Kari
2020,257,ASTALA Kari
2021,294,ASTALA Kari
2022,289,ASTALA Kari
2023,181,ASTALA Kari
1984,48,Hakonen Pertti
1985,48,Hakonen Pertti
1986,34,Hakonen Pertti
1987,64,Hakonen Pertti
1988,3,Hakonen Pertti
1989,54,Hakonen Pertti
1990,62,Hakonen Pertti
1991,46,Hakonen Pertti
1992,86,Hakonen Pertti
1993,69,Hakonen Pertti
1994,61,Hakonen Pertti
1995,106,Hakonen Pertti
1996,81,Hakonen Pertti
1997,80,Hakonen Pertti
1998,59,Hakonen Pertti
1999,45,Hakonen Pertti
2000,101,Hakonen Pertti
2001,125,Hakonen Pertti
2002,100,Hakonen Pertti
2003,108,Hakonen Pertti
2004,154,Hakonen Pertti
2005,195,Hakonen Pertti
2006,180,Hakonen Pertti
2007,152,Hakonen Pertti
2008,189,Hakonen Pertti
2009,268,Hakonen Pertti
2010,247,Hakonen Pertti
2011,229,Hakonen Pertti
2012,274,Hakonen Pertti
2013,395,Hakonen Pertti
2014,435,Hakonen Pertti
2015,600,Hakonen Pertti
2016,874,Hakonen Pertti
2017,898,Hakonen Pertti
2018,953,Hakonen Pertti
2019,831,Hakonen Pertti
2020,771,Hakonen Pertti
2021,798,Hakonen Pertti
2022,767,Hakonen Pertti
2023,483,Hakonen Pertti
2004,36,MÖTTÖNEN Mikko
2005,66,MÖTTÖNEN Mikko
2006,61,MÖTTÖNEN Mikko
2007,75,MÖTTÖNEN Mikko
2008,177,MÖTTÖNEN Mikko
2009,181,MÖTTÖNEN Mikko
2010,278,MÖTTÖNEN Mikko
2011,367,MÖTTÖNEN Mikko
2012,420,MÖTTÖNEN Mikko
2013,431,MÖTTÖNEN Mikko
2014,539,MÖTTÖNEN Mikko
2015,563,MÖTTÖNEN Mikko
2016,591,MÖTTÖNEN Mikko
2017,629,MÖTTÖNEN Mikko
2018,601,MÖTTÖNEN Mikko
2019,627,MÖTTÖNEN Mikko
2020,627,MÖTTÖNEN Mikko
2021,751,MÖTTÖNEN Mikko
2022,756,MÖTTÖNEN Mikko
2023,522,MÖTTÖNEN Mikko
2008,61,Kummu Matti
2009,61,Kummu Matti
2010,93,Kummu Matti
2011,135,Kummu Matti
2012,252,Kummu Matti
2013,372,Kummu Matti
2014,479,Kummu Matti
2015,675,Kummu Matti
2016,865,Kummu Matti
2017,1165,Kummu Matti
2018,1402,Kummu Matti
2019,1958,Kummu Matti
2020,2282,Kummu Matti
2021,2714,Kummu Matti
2022,3084,Kummu Matti
2023,1629,Kummu Matti
1998,30,Pulkki Ville
1999,42,Pulkki Ville
2000,26,Pulkki Ville
2001,51,Pulkki Ville
2002,77,Pulkki Ville
2003,63,Pulkki Ville
2004,83,Pulkki Ville
2005,148,Pulkki Ville
2006,159,Pulkki Ville
2007,196,Pulkki Ville
2008,249,Pulkki Ville
2009,315,Pulkki Ville
2010,307,Pulkki Ville
2011,371,Pulkki Ville
2012,320,Pulkki Ville
2013,518,Pulkki Ville
2014,509,Pulkki Ville
2015,536,Pulkki Ville
2016,540,Pulkki Ville
2017,694,Pulkki Ville
2018,581,Pulkki Ville
2019,714,Pulkki Ville
2020,549,Pulkki Ville
2021,643,Pulkki Ville
